state,x,y
Andhra Pradesh,320,149.0
Arunachal Pradesh,279,90.0
Assam,81,76.0
Bihar,-20,-48.0
Chhattisgarh,-30,-62.0
Goa,-260,-254.0
Gujarat,-339, -16.0
Haryana,-197,182.0
Himachal Pradesh,-177,275.0
Jharkhand,53, 2.0
Karnataka,-217,-282.0
Kerala,-197,-397.0
Madhya Pradesh,-149, -11.0
Maharashtra,-216,-135.0
Manipur,310,34.0
Meghalaya,232,58.0
Mizoram,283,-9.0
Nagaland,331, 84.0
Odisha,38,-96.0
Punjab,-220,236.0
Rajasthan,-271,99.0
Sikkim,157,129.0
Tamil Nadu,-137,-378.0
Telangana,-113,-179.0
Tripura,247,4.0
Uttar Pradesh,-67,102.0
Uttarakhand,-112,212.0
West Bengal,132,-18.0
